TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C13,C14,D1,D2,D4,D10,D15,M1,M2,M3,M4,M5,M6,id_01,id_02,id_05,id_06,id_19,id_20,DeviceType,DeviceInfo,TransactionDate,TransactionHour,TransactionDayOfWeek
3090432,0,2064215,32.648,C,10568,204.0,185.0,visa,226.0,credit,,,,75.0,hotmail.com,hotmail.com,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,M2,,,-5.0,91299.0,0.0,0.0,266.0,325.0,desktop,,2017-12-24 21:23:35,21,Sunday
3387861,0,10105194,39.877,C,5583,103.0,185.0,visa,226.0,credit,,,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M2,,,-20.0,360553.0,0.0,-26.0,417.0,612.0,mobile,SM-G570M Build/MMB29K,2018-03-27 22:59:54,22,Tuesday
3045785,0,1358132,250.0,R,12133,111.0,150.0,mastercard,129.0,credit,472.0,87.0,,,anonymous.com,anonymous.com,1.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,,,,,,,,,,-5.0,71001.0,0.0,0.0,193.0,391.0,desktop,Trident/7.0,2017-12-16 17:15:32,17,Saturday
3004040,0,445895,100.0,W,10787,555.0,150.0,visa,226.0,debit,330.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,1.0,9.0,1.0,476.0,476.0,476.0,476.0,476.0,,,,,,F,,,,,,,,,2017-12-06 03:51:35,3,Wednesday
3518861,0,13997984,59.0,W,14649,548.0,150.0,visa,226.0,debit,476.0,87.0,,,yahoo.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,T,M0,T,F,,,,,,,,,2018-05-12 00:19:44,0,Saturday
3120348,0,2663184,100.0,H,7585,553.0,150.0,visa,226.0,credit,485.0,87.0,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,-5.0,57518.0,0.0,0.0,492.0,404.0,mobile,iOS Device,2017-12-31 19:46:24,19,Sunday
3470238,0,12580412,846.29,W,13157,512.0,150.0,mastercard,224.0,debit,269.0,87.0,,,gmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,T,,,F,,,,,,,,,2018-04-25 14:33:32,14,Wednesday
3139647,0,3168414,116.075,C,3154,408.0,185.0,mastercard,224.0,debit,,,,420.0,anonymous.com,anonymous.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,M2,,,-5.0,270358.0,0.0,0.0,266.0,469.0,desktop,Windows,2018-01-06 16:06:54,16,Saturday
3408748,0,10686644,117.0,W,18018,452.0,150.0,mastercard,117.0,debit,325.0,87.0,,,yahoo.com,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,T,T,F,M0,F,F,,,,,,,,,2018-04-03 16:30:44,16,Tuesday
3063366,0,1663962,250.0,R,9350,111.0,150.0,visa,162.0,credit,299.0,87.0,,,gmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,-5.0,109110.0,0.0,0.0,542.0,222.0,desktop,MacOS,2017-12-20 06:12:42,6,Wednesday
3577346,0,15806949,107.95,W,12695,490.0,150.0,visa,226.0,debit,325.0,87.0,2149.0,,gmail.com,,1.0,4.0,0.0,0.0,2.0,16.0,1.0,146.0,146.0,401.0,8.0,8.0,T,T,T,,,F,,,,,,,,,2018-06-01 22:49:09,22,Friday
3177474,1,4261577,30.0,S,15651,417.0,150.0,visa,226.0,debit,330.0,87.0,,,,gmail.com,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,,,,,,,,,,,-5.0,2258.0,5.0,-4.0,352.0,533.0,desktop,Windows,2018-01-19 07:46:17,7,Friday
3576425,0,15788425,25.95,W,10691,555.0,150.0,visa,226.0,debit,485.0,87.0,22.0,,anonymous.com,,3.0,9.0,0.0,0.0,5.0,15.0,3.0,92.0,92.0,91.0,92.0,92.0,T,T,T,,,T,,,,,,,,,2018-06-01 17:40:25,17,Friday
